 PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SPED   THTA   THTE   THTV
    hPa      m      C      C      %   g/kg    deg    m/s      K      K      K 
-----------------------------------------------------------------------------
  909.8    874    5.6   -0.8     63   3.96    287   21.7  286.4  297.8  287.0
  908.5    886    5.5   -0.9     64   3.95    287   21.8  286.4  297.8  287.0
  907.1    897    5.4   -0.9     64   3.96    287   21.8  286.4  297.8  287.1
  905.8    909    5.3   -0.8     65   3.97    287   21.8  286.4  297.9  287.1
  904.5    919    5.1   -0.9     65   3.97    287   21.8  286.4  297.9  287.1
  903.2    933    5.0   -0.9     66   3.97    288   21.8  286.4  297.9  287.1
  901.9    945    4.9   -0.9     66   3.96    288   21.8  286.4  297.8  287.1
  900.5    957    4.8   -0.9     66   3.96    288   21.8  286.4  297.9  287.1
  899.2    969    4.7   -1.0     67   3.96    288   21.7  286.4  297.8  287.1
  897.9    981    4.5   -1.0     67   3.96    288   21.6  286.4  297.8  287.1
  896.5    993    4.4   -1.0     68   3.97    288   21.6  286.4  297.9  287.1
  895.5   1002    4.3   -1.0     68   3.96    288   21.5  286.4  297.8  287.1
  895.1   1006    4.3   -1.0     68   3.96    288   21.5  286.4  297.8  287.1
  893.7   1019    4.2   -1.1     68   3.95    288   21.3  286.4  297.8  287.1
  892.3   1032    4.0   -1.1     69   3.94    288   21.2  286.4  297.8  287.0
  891.0   1044    3.9   -1.2     69   3.94    288   21.0  286.4  297.8  287.1
  889.7   1056    3.8   -1.2     70   3.94    288   20.9  286.4  297.8  287.1
  888.4   1066    3.7   -1.2     70   3.93    288   20.7  286.4  297.8  287.1
  887.1   1078    3.6   -1.4     70   3.89    287   20.5  286.4  297.7  287.1
  885.8   1090    3.6   -1.7     69   3.82    287   20.3  286.5  297.5  287.1
  884.5   1104    3.5   -2.1     67   3.71    287   20.1  286.5  297.3  287.2
  883.2   1114    3.5   -2.6     65   3.58    287   19.9  286.6  297.0  287.2
  882.0   1127    3.5   -3.1     62   3.44    287   19.6  286.7  296.8  287.3
  880.7   1138    3.5   -3.5     60   3.35    286   19.4  286.8  296.6  287.4
  879.4   1149    3.4   -4.2     58   3.19    286   19.2  286.9  296.3  287.5
  878.0   1161    3.5   -5.2     53   2.95    285   19.0  287.1  295.8  287.6
  876.7   1175    3.5   -6.5     48   2.69    285   18.8  287.3  295.3  287.8
  875.3   1188    3.6   -7.2     45   2.55    284   18.5  287.4  295.0  287.9
  873.9   1202    3.5   -7.5     44   2.48    283   18.3  287.5  294.9  287.9
  872.6   1214    3.4   -8.0     43   2.39    283   18.1  287.6  294.7  288.0
  871.3   1224    3.5   -9.1     39   2.21    282   17.9  287.7  294.4  288.1
  869.9   1237    3.5   -9.7     38   2.11    281   17.7  287.9  294.2  288.2
  868.6   1252    3.4   -9.8     37   2.09    280   17.5  287.9  294.2  288.3
  867.2   1262    3.3  -10.0     37   2.07    279   17.3  288.0  294.2  288.3
  865.8   1276    3.2  -10.1     37   2.05    278   17.2  288.0  294.2  288.4
  864.4   1289    3.2  -10.4     36   2.01    277   17.0  288.1  294.1  288.4
  863.0   1303    3.2  -10.7     35   1.96    275   16.9  288.2  294.1  288.6
  861.6   1316    3.2  -10.8     35   1.94    274   16.8  288.4  294.3  288.7
  860.2   1328    3.1  -10.8     35   1.95    273   16.8  288.4  294.3  288.8
  858.9   1342    3.1  -10.8     35   1.96    272   16.7  288.5  294.4  288.8
  857.6   1355    3.0  -10.9     35   1.94    272   16.7  288.5  294.4  288.8
  856.4   1366    3.1  -11.3     34   1.89    271   16.8  288.7  294.5  289.1
  855.2   1375    3.2  -11.8     32   1.81    270   16.8  289.0  294.5  289.3
  854.0   1387    3.4  -12.7     30   1.69    270   16.9  289.3  294.5  289.6
  852.8   1399    3.8  -14.1     26   1.51    269   17.0  289.8  294.5  290.1
  851.6   1410    4.1  -15.5     23   1.35    269   17.2  290.2  294.4  290.5
  850.3   1423    4.2  -16.8     20   1.21    269   17.3  290.5  294.3  290.7
  850.0   1426    4.2  -16.9     20   1.20    268   17.5  290.5  294.3  290.7
  849.0   1435    4.2  -17.4     19   1.15    268   17.5  290.6  294.2  290.8
  847.7   1447    4.2  -18.3     18   1.07    268   17.7  290.7  294.1  290.9
  846.3   1462    4.1  -18.9     17   1.01    268   17.9  290.8  294.0  291.0
  845.0   1473    4.1  -19.6     16   0.96    267   18.1  290.9  294.0  291.1
  843.7   1487    4.0  -20.3     15   0.90    267   18.3  291.0  293.9  291.1
  842.4   1499    4.0  -20.8     14   0.86    266   18.5  291.1  293.8  291.2
  841.2   1510    3.9  -20.7     15   0.88    266   18.7  291.1  293.9  291.3
  840.0   1522    3.9  -22.1     13   0.78    265   18.9  291.2  293.8  291.4
  838.8   1533    4.0  -23.7     11   0.68    264   19.0  291.4  293.6  291.6
  837.6   1545    4.0  -25.0     10   0.60    264   19.1  291.6  293.5  291.7
  836.4   1556    4.0  -25.9      9   0.55    263   19.2  291.7  293.5  291.8
  835.2   1568    4.0  -26.9      8   0.51    263   19.3  291.8  293.4  291.9
  834.1   1580    4.0  -27.9      8   0.47    263   19.4  291.9  293.4  291.9
  833.0   1590    3.9  -28.7      7   0.43    262   19.5  291.9  293.4  292.0
  831.9   1600    3.9  -29.6      7   0.40    262   19.5  292.0  293.3  292.1
  830.7   1610    3.9  -30.6      6   0.36    262   19.6  292.1  293.3  292.2
  829.5   1622    3.8  -31.6      5   0.33    262   19.6  292.2  293.3  292.2
  828.2   1635    3.7  -32.4      5   0.31    262   19.7  292.2  293.3  292.3
  826.9   1649    3.6  -33.1      5   0.29    262   19.7  292.2  293.2  292.3
  825.7   1662    3.5  -33.4      5   0.28    262   19.8  292.3  293.2  292.3
  824.4   1673    3.5  -33.5      5   0.28    262   19.8  292.3  293.2  292.3
  823.2   1685    3.4  -33.3      5   0.28    262   19.9  292.3  293.3  292.4
  822.0   1697    3.3  -34.3      4   0.26    262   19.9  292.4  293.2  292.4
  820.9   1709    3.2  -33.9      5   0.26    262   19.9  292.4  293.3  292.4
