zone, t="Re=3 million, alpha=.0083, fixed transition"
.9483   .1295
.9000   .0690
.8503   .0309
.7998  -.0070
.7497  -.0352
.7003  -.0704
.6502  -.1081
.5997  -.1264
.5506  -.1609
.5000  -.1821
.4503  -.2100
.4000  -.2398
.3507  -.2736
.3002  -.2979
.2501  -.3347
.2004  -.3566
.1504  -.3791
.1000  -.3781
.0755  -.3534
.0510  -.3091
.0251  -.1633
.0122   .0474
0.     1.0593
.0135   .0651
.0271  -.1417
.0515  -.2740
.0763  -.3278
.1012  -.3567
.1503  -.3466
.1994  -.3391
.2501  -.3189
.2999  -.2904
.3499  -.2646
.3994  -.2324
.4496  -.2061
.4997  -.1751
.5492  -.1496
.5994  -.1195
.6495  -.0977
.6996  -.0674
.7489  -.0350
.8003  -.0028
.8500   .0339
.8993   .0792
.9489   .1249

