#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.97641  0.03656  0.03856  1.86670  0.000382  0.000119  0.001817     3.204
   0.98072  0.03273  0.03658  1.88447  0.000351  0.000112  0.002311     3.127
   0.98472  0.02923  0.03465  1.90210  0.000323  0.000106  0.002873     3.056
   0.98845  0.02602  0.03276  1.91938  0.000298  0.000099  0.003479     2.994
   0.99193  0.02307  0.03091  1.93657  0.000273  0.000093  0.004243     2.926
   0.99520  0.02036  0.02909  1.95294  0.000252  0.000088  0.005060     2.868
   0.99826  0.01787  0.02730  1.96846  0.000232  0.000082  0.005960     2.815
   1.00116  0.01558  0.02553  1.98316  0.000212  0.000077  0.007041     2.759
   1.00389  0.01348  0.02378  1.99615  0.000195  0.000072  0.008184     2.712
   1.00648  0.01155  0.02205  2.00775  0.000179  0.000067  0.009638     2.656
   1.00895  0.00979  0.02032  2.01584  0.000165  0.000063  0.010973     2.618
   1.01130  0.00818  0.01860  2.02177  0.000151  0.000059  0.012710     2.569
   1.01355  0.00673  0.01689  2.02304  0.000139  0.000055  0.014482     2.528
   1.01570  0.00542  0.01518  2.01947  0.000127  0.000051  0.016545     2.483
   1.01776  0.00426  0.01347  2.00863  0.000117  0.000048  0.018388     2.452
   1.01975  0.00324  0.01177  1.99139  0.000108  0.000045  0.020645     2.411
   1.02167  0.00237  0.01006  1.96411  0.000100  0.000042  0.022664     2.379
   1.02352  0.00163  0.00836  1.92672  0.000094  0.000040  0.024555     2.349
   1.02532  0.00104  0.00666  1.87821  0.000088  0.000038  0.026077     2.324
   1.02706  0.00058  0.00498  1.81877  0.000083  0.000036  0.027331     2.300
   1.02875  0.00026  0.00332  1.74782  0.000079  0.000035  0.028134     2.277
   1.03040  0.00007  0.00168  1.66622  0.000077  0.000034  0.028076     2.264
   1.03201  0.00000  0.00008  1.57813  0.000075  0.000033  0.027494     2.255
   1.03361  0.00005 -0.00152  1.48344  0.000073  0.000033  0.026537     2.248
   1.03524  0.00023 -0.00315  1.37974  0.000072  0.000032  0.025412     2.236
   1.03692  0.00055 -0.00479  1.26610  0.000071  0.000032  0.023850     2.223
   1.03864  0.00101 -0.00645  1.14525  0.000072  0.000032  0.021415     2.224
   1.04041  0.00162 -0.00811  1.02097  0.000072  0.000033  0.019294     2.208
   1.04223  0.00238 -0.00976  0.89327  0.000074  0.000033  0.016330     2.213
   1.04410  0.00329 -0.01140  0.76914  0.000076  0.000034  0.013778     2.208
   1.04604  0.00435 -0.01302  0.64674  0.000079  0.000036  0.011212     2.204
   1.04805  0.00556 -0.01462  0.53016  0.000083  0.000037  0.008698     2.210
   1.05013  0.00692 -0.01620  0.42149  0.000086  0.000039  0.006609     2.212
   1.05230  0.00843 -0.01776  0.31813  0.000091  0.000041  0.004769     2.205
   1.05456  0.01009 -0.01929  0.22357  0.000097  0.000043  0.003076     2.229
   1.05693  0.01191 -0.02081  0.13558  0.000100  0.000045  0.001832     2.212
   1.05941  0.01389 -0.02230  0.05410  0.000111  0.000050  0.000650     2.230
   1.06202  0.01604 -0.02379 -0.02046  0.000111  0.000050  0.000246     2.230
   1.06477  0.01836 -0.02526 -0.09026  0.000122  0.000054  0.000980     2.240
   1.06769  0.02088 -0.02672 -0.15388  0.000128  0.000057  0.001590     2.237
   1.07078  0.02361 -0.02817 -0.21284  0.000136  0.000061  0.002038     2.251
   1.07407  0.02656 -0.02963 -0.26837  0.000143  0.000064  0.002460     2.247
   1.07758  0.02976 -0.03108 -0.31971  0.000153  0.000067  0.002700     2.265
   1.08134  0.03323 -0.03254 -0.36751  0.000161  0.000071  0.002942     2.263
   1.08539  0.03701 -0.03400 -0.41215  0.000172  0.000076  0.003070     2.274
   1.08976  0.04112 -0.03547 -0.45408  0.000182  0.000080  0.003188     2.277
   1.09448  0.04560 -0.03694 -0.49355  0.000193  0.000084  0.003243     2.285
   1.09960  0.05051 -0.03842 -0.53046  0.000205  0.000089  0.003259     2.293
   1.10518  0.05588 -0.03991 -0.56583  0.000216  0.000094  0.003287     2.294
   1.11125  0.06176 -0.04140 -0.59850  0.000231  0.000100  0.003215     2.309
   1.11786  0.06821 -0.04289 -0.62943  0.000244  0.000106  0.003187     2.311
   1.12507  0.07526 -0.04436 -0.65839  0.000260  0.000112  0.003109     2.320
   1.13290  0.08296 -0.04581 -0.68530  0.000276  0.000119  0.003022     2.327
   1.14139  0.09133 -0.04722 -0.71067  0.000292  0.000125  0.002948     2.332
   1.15052  0.10036 -0.04857 -0.73389  0.000311  0.000133  0.002836     2.342
   1.16029  0.11005 -0.04985 -0.75510  0.000330  0.000140  0.002730     2.349
   1.17066  0.12035 -0.05103 -0.77455  0.000349  0.000148  0.002631     2.355
   1.18158  0.13122 -0.05211 -0.79202  0.000369  0.000156  0.002520     2.364
   1.19298  0.14258 -0.05307 -0.80770  0.000390  0.000165  0.002415     2.372
   1.20481  0.15438 -0.05390 -0.82181  0.000411  0.000173  0.002319     2.378
   1.21700  0.16655 -0.05460 -0.83426  0.000433  0.000181  0.002216     2.386
   1.22950  0.17903 -0.05517 -0.84523  0.000455  0.000190  0.002120     2.395
   1.24226  0.19178 -0.05561 -0.85499  0.000476  0.000198  0.002033     2.401
   1.25524  0.20476 -0.05593 -0.86363  0.000498  0.000207  0.001949     2.408
   1.26840  0.21793 -0.05612 -0.87118  0.000521  0.000215  0.001866     2.416
   1.28174  0.23126 -0.05620 -0.87787  0.000543  0.000224  0.001792     2.423
   1.29521  0.24473 -0.05616 -0.88364  0.000566  0.000233  0.001716     2.432
   1.30881  0.25833 -0.05602 -0.88875  0.000588  0.000241  0.001648     2.439
   1.32252  0.27203 -0.05578 -0.89319  0.000611  0.000250  0.001583     2.446
   1.33633  0.28584 -0.05545 -0.89715  0.000633  0.000258  0.001525     2.452
   1.35023  0.29973 -0.05503 -0.90045  0.000656  0.000267  0.001462     2.461
   1.36421  0.31371 -0.05452 -0.90337  0.000679  0.000275  0.001408     2.468
   1.37827  0.32775 -0.05394 -0.90594  0.000701  0.000283  0.001358     2.474
   1.39239  0.34186 -0.05328 -0.90806  0.000724  0.000292  0.001306     2.482
   1.40659  0.35604 -0.05256 -0.90986  0.000747  0.000300  0.001259     2.490
   1.42084  0.37027 -0.05176 -0.91145  0.000770  0.000308  0.001216     2.496
   1.43514  0.38455 -0.05091 -0.91264  0.000794  0.000317  0.001170     2.505
   1.44950  0.39888 -0.05000 -0.91371  0.000816  0.000325  0.001132     2.511
   1.46391  0.41325 -0.04903 -0.91449  0.000840  0.000333  0.001092     2.519
   1.47836  0.42767 -0.04802 -0.91508  0.000863  0.000342  0.001054     2.526
   1.49286  0.44212 -0.04695 -0.91549  0.000886  0.000350  0.001018     2.534
   1.50739  0.45662 -0.04585 -0.91576  0.000910  0.000358  0.000985     2.541
   1.52196  0.47114 -0.04470 -0.91584  0.000934  0.000366  0.000951     2.549
   1.53657  0.48570 -0.04352 -0.91586  0.000957  0.000374  0.000922     2.555
   1.55121  0.50029 -0.04229 -0.91561  0.000982  0.000383  0.000888     2.565
   1.56587  0.51490 -0.04104 -0.91529  0.001006  0.000391  0.000858     2.573
   1.58057  0.52954 -0.03976 -0.91486  0.001031  0.000399  0.000829     2.582
   1.59529  0.54421 -0.03844 -0.91417  0.001058  0.000408  0.000796     2.594
   1.61004  0.55889 -0.03710 -0.91341  0.001085  0.000416  0.000767     2.605
   1.62481  0.57360 -0.03574 -0.91243  0.001113  0.000425  0.000734     2.619
   1.63960  0.58833 -0.03435 -0.91116  0.001145  0.000434  0.000697     2.637
   1.65442  0.60308 -0.03295 -0.90940  0.001184  0.000444  0.000650     2.666
   1.66925  0.61784 -0.03154 -0.90781  0.001218  0.000454  0.000618     2.685
   1.68408  0.63261 -0.03015 -0.90659  0.001242  0.000462  0.000602     2.689
   1.69892  0.64738 -0.02877 -0.90561  0.001261  0.000470  0.000594     2.686
   1.71376  0.66215 -0.02741 -0.90481  0.001278  0.000477  0.000591     2.679
