zone, t="Re=6 million, alpha=15.0299, free transition"
.9483   .0617
.9000   .0513
.8503   .0877
.7998   .1017
.7497   .1074
.7003   .1208
.6502   .1275
.5997   .1627
.5506   .1787
.5000   .2027
.4503   .2369
.4000   .2621
.3507   .3031
.3002   .3522
.2501   .4122
.2004   .4922
.1504   .5984
.1000   .7577
.0755   .8538
.0510   .9678
.0251  1.0003
.0122   .7025
0.    -5.9494
.0135 -5.9727
.0271 -4.4770
.0515 -3.2561
.0763 -2.6775
.1012 -2.2702
.1503 -1.7605
.1994 -1.4603
.2501 -1.2253
.2999 -1.0511
.3499  -.9091
.3994  -.7981
.4496  -.6870
.4997  -.5954
.5492  -.5115
.5994  -.4372
.6495  -.3675
.6996  -.2990
.7489  -.2354
.8003  -.1678
.8500  -.0970
.8993  -.0368
.9489   .0123

