x, y
-11.992631944259056 -0.46334321225290925
-9.988947916388586  -0.5102642137994696
-7.98526388851811   -0.4574781989275473
-5.922648903151657  -0.23460411278913515
-3.9779003289210237 -0.029325514098641686
-1.9152853435545687 0.2111436120158554
0.14732964181189345 0.45161273813035163
2.151013669682353   0.6803518375941253
4.154697697552834   0.8973606866712582
6.27624364041527    1.1085038512152794
8.220996710789759   1.2903223966043265
10.224676242516377  1.4428152041588143
12.287291227882832  1.5659822738787432
14.349906213249294  1.6656890665613093
16.353590241119754  1.6891495673345895
18.35727426899024   1.3489734248016103

