Name = NACA 0012
Mach = 0; Re = 2200000; T.U. = 0.01; T.L. = 1.0
Surface Finish = 0; Stall model = 1; Transition model = 1; Aspect Ratio = 0; ground effect = 0
α	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-16.0	-0.127	0.07394	-0.112	0.930	0.939	1.226	0.953	-1.720	1.146	-0.629
-15.0	-0.054	0.06748	-0.177	0.930	0.939	1.226	1.207	-0.805	-0.572	-3.013
-14.0	-0.238	0.02617	-0.203	0.930	0.939	1.226	1.207	-9.102	-0.020	-0.602
-13.0	-0.235	0.01719	-0.226	0.930	0.939	1.226	1.207	-13.661	0.552	-0.712
-12.0	-0.117	0.01980	-0.240	0.930	0.939	1.226	1.207	-5.923	0.366	-1.792
-11.0	0.003	0.01583	-0.253	0.930	0.939	1.226	1.207	0.167	0.361	96.242
-10.0	0.130	0.01533	-0.267	0.930	0.939	1.226	1.207	8.481	0.436	2.303
-9.0	0.149	0.01487	-0.280	0.930	0.939	1.226	1.207	9.987	0.410	2.138
-8.0	0.298	0.01540	-0.294	0.930	0.939	1.226	1.207	19.370	0.340	1.235
-7.0	0.448	0.01470	-0.307	0.930	0.939	1.226	1.207	30.479	0.339	0.936
-6.0	0.597	0.01449	-0.320	0.930	0.939	1.226	1.207	41.174	0.339	0.787
-5.0	0.743	0.01313	-0.334	0.930	0.939	1.226	1.207	56.602	0.339	0.699
-4.0	0.888	0.01363	-0.347	0.930	0.939	1.226	1.207	65.166	0.339	0.640
-3.0	1.032	0.01399	-0.359	0.930	0.939	1.226	1.207	73.741	0.339	0.598
-2.0	1.172	0.01443	-0.372	0.930	0.939	1.226	1.207	81.217	0.339	0.567
-1.0	1.311	0.01538	-0.384	0.930	0.939	1.226	1.207	85.229	0.340	0.543
-0.0	1.447	0.01606	-0.396	0.930	0.939	1.226	1.207	90.071	0.335	0.524
1.0	1.564	0.01652	-0.406	0.930	0.940	1.226	1.207	94.644	0.321	0.509
2.0	1.700	0.01789	-0.414	0.930	0.939	1.226	1.207	95.022	0.315	0.494
3.0	1.833	0.01914	-0.423	0.930	0.940	1.226	1.207	95.778	0.315	0.481
4.0	1.960	0.02090	-0.431	0.930	0.940	1.226	1.207	93.778	0.315	0.470
5.0	2.081	0.02258	-0.439	0.930	0.943	1.226	1.207	92.156	0.317	0.461
6.0	2.194	0.02499	-0.447	0.930	0.944	1.226	1.207	87.805	0.319	0.454
7.0	2.297	0.02771	-0.454	0.930	0.944	1.226	1.207	82.919	0.325	0.448
8.0	2.388	0.03048	-0.461	0.930	0.945	1.226	1.207	78.337	0.358	0.443
9.0	2.450	0.03468	-0.471	0.930	0.945	1.226	1.207	70.642	-1.135	0.442
10.0	2.362	0.04395	-0.497	0.930	0.946	1.226	1.207	53.749	0.050	0.461
11.0	2.149	0.07708	-0.531	0.930	0.947	1.226	1.207	27.886	0.040	0.497
12.0	2.159	0.08918	-0.540	0.930	0.947	1.226	1.207	24.209	-2.470	0.500
13.0	2.143	0.10103	-0.549	0.930	0.948	1.226	1.207	21.208	-0.130	0.506
14.0	2.111	0.11329	-0.558	0.930	0.949	1.226	1.207	18.637	0.023	0.514
15.0	2.065	0.12706	-0.567	0.930	0.951	1.226	1.207	16.255	0.087	0.524
16.0	2.007	0.14374	-0.575	0.930	0.952	1.226	1.207	13.963	0.105	0.537
