[Name]
Series 1 at airfoil

[Data]
X [ m ],h [ W m^-2 ]
3.57119776e-02, -6.83983398e+02
3.56731042e-02, -4.86781311e+02
3.56384590e-02, -8.18076721e+02
3.56086195e-02, -1.13746716e+03
3.55835445e-02, -1.36169434e+03
3.53441723e-02, -1.25043030e+03
3.51056270e-02, -1.22988354e+03
3.48679721e-02, -1.22199939e+03
3.46312486e-02, -1.21740784e+03
3.43953520e-02, -1.21214600e+03
3.41601260e-02, -1.20539636e+03
3.39254215e-02, -1.19842737e+03
3.36910896e-02, -1.19263977e+03
3.34569141e-02, -1.18364026e+03
3.32225785e-02, -1.17251526e+03
3.29877511e-02, -1.16172278e+03
3.27521004e-02, -1.14949500e+03
3.25153060e-02, -1.13525366e+03
3.22770290e-02, -1.12179236e+03
3.20369527e-02, -1.10712561e+03
3.17947343e-02, -1.09150037e+03
3.15500684e-02, -1.07613025e+03
3.13026197e-02, -1.06065479e+03
3.10521070e-02, -1.04463879e+03
3.07983309e-02, -1.02920398e+03
3.05411015e-02, -1.01355981e+03
3.02802399e-02, -9.97672729e+02
3.00155748e-02, -9.81679749e+02
2.97468845e-02, -9.65837708e+02
2.94740312e-02, -9.50180542e+02
2.91968249e-02, -9.34609253e+02
2.89150812e-02, -9.19337402e+02
2.86286417e-02, -9.03966064e+02
2.83373948e-02, -8.89363770e+02
2.80412603e-02, -8.74895752e+02
2.77401395e-02, -8.60662048e+02
2.74339020e-02, -8.46790955e+02
2.71225125e-02, -8.33047424e+02
2.68058125e-02, -8.19890320e+02
2.64837667e-02, -8.07016968e+02
2.61562802e-02, -7.94401550e+02
2.58232336e-02, -7.82235168e+02
2.54845433e-02, -7.70468872e+02
2.51400918e-02, -7.58971191e+02
2.47897580e-02, -7.47789001e+02
2.44334172e-02, -7.37121155e+02
2.40709558e-02, -7.26708740e+02
2.37022620e-02, -7.16817322e+02
2.33272072e-02, -7.07238647e+02
2.29456704e-02, -6.98180237e+02
2.25575790e-02, -6.89674561e+02
2.21628658e-02, -6.81985107e+02
2.17616260e-02, -6.74889893e+02
2.13541035e-02, -6.68709778e+02
2.09406074e-02, -6.62952576e+02
2.05213130e-02, -6.57930969e+02
2.00964995e-02, -6.53151550e+02
1.96664128e-02, -6.49120056e+02
1.92312337e-02, -6.45161072e+02
1.87912639e-02, -6.37195190e+02
1.82577297e-02, -6.33517883e+02
1.77178197e-02, -6.28631897e+02
1.71714611e-02, -6.23973572e+02
1.66184753e-02, -6.19527527e+02
1.60588138e-02, -6.15554871e+02
1.54923731e-02, -6.11935059e+02
1.49190025e-02, -6.08815796e+02
1.43386461e-02, -6.06279053e+02
1.37512218e-02, -6.04477417e+02
1.31567344e-02, -6.03349426e+02
1.25556691e-02, -6.03783752e+02
1.19488351e-02, -6.05137695e+02
1.13369599e-02, -6.07479431e+02
1.07207345e-02, -6.10069275e+02
1.01008555e-02, -6.13977112e+02
9.47802048e-03, -6.20229126e+02
8.85287020e-03, -6.27310059e+02
8.22584610e-03, -6.34837952e+02
7.59710371e-03, -6.41861389e+02
6.96675340e-03, -6.50115479e+02
6.33493019e-03, -6.60971313e+02
5.70175517e-03, -6.83896729e+02
5.38443029e-03, -6.92727783e+02
5.06681064e-03, -7.03409241e+02
4.74891486e-03, -7.15535583e+02
4.43075690e-03, -7.29754822e+02
4.11235169e-03, -7.45534851e+02
3.79368803e-03, -7.62614624e+02
3.47466604e-03, -7.80480103e+02
3.15514882e-03, -7.97926514e+02
2.83499924e-03, -8.13651489e+02
2.51419446e-03, -8.41602783e+02
2.19340133e-03, -8.84891113e+02
1.87361846e-03, -9.32080322e+02
1.55594409e-03, -9.92593201e+02
1.24607550e-03, -1.08391406e+03
9.57472832e-04, -1.18660974e+03
7.04973878e-04, -1.27240942e+03
4.92183084e-04, -1.33635474e+03
3.16819118e-04, -1.38007922e+03
1.76186091e-04, -1.46143860e+03
6.97391661e-05, -1.46063745e+03
-1.13698832e-06, -1.45864746e+03
9.13458371e-06, -1.38742615e+03
8.14504601e-05, -1.32198071e+03
1.88511272e-04, -1.29609949e+03
3.12563585e-04, -1.30186621e+03
4.58774099e-04, -1.29645740e+03
6.37591525e-04, -1.27261926e+03
8.58152169e-04, -1.22365393e+03
1.11645553e-03, -1.17314551e+03
1.39756035e-03, -1.15631995e+03


