[Name]
Series 1 at airfoil

[Data]
X [ m ],Cp
3.57119776e-02, -3.33991508e+01
3.56731042e-02, -3.59443474e+01
3.56384590e-02, -3.48373718e+01
3.56086195e-02, -2.91125717e+01
3.55835445e-02, -2.36024437e+01
3.53441723e-02, -2.04437160e+01
3.51056270e-02, -1.88350830e+01
3.48679721e-02, -1.77342548e+01
3.46312486e-02, -1.68310528e+01
3.43953520e-02, -1.60240383e+01
3.41601260e-02, -1.52687426e+01
3.39254215e-02, -1.45429115e+01
3.36910896e-02, -1.38357496e+01
3.34569141e-02, -1.31446791e+01
3.32225785e-02, -1.24705219e+01
3.29877511e-02, -1.18147669e+01
3.27521004e-02, -1.11788101e+01
3.25153060e-02, -1.05635443e+01
3.22770290e-02, -9.96993351e+00
3.20369527e-02, -9.39916992e+00
3.17947343e-02, -8.85199738e+00
3.15500684e-02, -8.32941055e+00
3.13026197e-02, -7.83266354e+00
3.10521070e-02, -7.36107349e+00
3.07983309e-02, -6.91314316e+00
3.05411015e-02, -6.48790359e+00
3.02802399e-02, -6.08424330e+00
3.00155748e-02, -5.70185089e+00
2.97468845e-02, -5.33996010e+00
2.94740312e-02, -4.99752665e+00
2.91968249e-02, -4.67448425e+00
2.89150812e-02, -4.37051153e+00
2.86286417e-02, -4.08468342e+00
2.83373948e-02, -3.81561017e+00
2.80412603e-02, -3.56210494e+00
2.77401395e-02, -3.32362008e+00
2.74339020e-02, -3.09906101e+00
2.71225125e-02, -2.88781786e+00
2.68058125e-02, -2.68922091e+00
2.64837667e-02, -2.50216293e+00
2.61562802e-02, -2.32618928e+00
2.58232336e-02, -2.16073155e+00
2.54845433e-02, -2.00510406e+00
2.51400918e-02, -1.85891891e+00
2.47897580e-02, -1.72175109e+00
2.44334172e-02, -1.59323454e+00
2.40709558e-02, -1.47280073e+00
2.37022620e-02, -1.36016345e+00
2.33272072e-02, -1.25507855e+00
2.29456704e-02, -1.15728927e+00
2.25575790e-02, -1.06685030e+00
2.21628658e-02, -9.83681560e-01
2.17616260e-02, -9.06857073e-01
2.13541035e-02, -8.34991634e-01
2.09406074e-02, -7.67344475e-01
2.05213130e-02, -7.03494489e-01
2.00964995e-02, -6.42583013e-01
1.96664128e-02, -5.84273160e-01
1.92312337e-02, -5.28392315e-01
1.87912639e-02, -4.77011800e-01
1.82577297e-02, -4.14071172e-01
1.77178197e-02, -3.53256464e-01
1.71714611e-02, -2.95102358e-01
1.66184753e-02, -2.39853024e-01
1.60588138e-02, -1.87441096e-01
1.54923731e-02, -1.37933910e-01
1.49190025e-02, -9.14325193e-02
1.43386461e-02, -4.79706079e-02
1.37512218e-02, -8.31434410e-03
1.31567344e-02, 2.75110062e-02
1.25556691e-02, 6.07136525e-02
1.19488351e-02, 9.24681351e-02
1.13369599e-02, 1.23469055e-01
1.07207345e-02, 1.54150039e-01
1.01008555e-02, 1.85079396e-01
9.47802048e-03, 2.16943324e-01
8.85287020e-03, 2.50251234e-01
8.22584610e-03, 2.84973592e-01
7.59710371e-03, 3.20588470e-01
6.96675340e-03, 3.57137889e-01
6.33493019e-03, 3.94899756e-01
5.70175517e-03, 4.34332907e-01
5.38443029e-03, 4.53815818e-01
5.06681064e-03, 4.73782867e-01
4.74891486e-03, 4.94082510e-01
4.43075690e-03, 5.14761031e-01
4.11235169e-03, 5.35911024e-01
3.79368803e-03, 5.57540953e-01
3.47466604e-03, 5.79389811e-01
3.15514882e-03, 6.00960791e-01
2.83499924e-03, 6.21445656e-01
2.51419446e-03, 6.41534746e-01
2.19340133e-03, 6.62558496e-01
1.87361846e-03, 6.79961741e-01
1.55594409e-03, 6.93681479e-01
1.24607550e-03, 7.21285105e-01
9.57472832e-04, 7.80479014e-01
7.04973878e-04, 8.66144121e-01
4.92183084e-04, 9.45591390e-01
3.16819118e-04, 1.00520205e+00
1.76186091e-04, 1.03107548e+00
6.97391661e-05, 1.02618790e+00
-1.13698832e-06, 9.67802227e-01
9.13458371e-06, 8.25140715e-01
8.14504601e-05, 6.84550464e-01
1.88511272e-04, 5.45959830e-01
3.12563585e-04, 3.70680809e-01
4.58774099e-04, 1.23582721e-01
6.37591525e-04, -1.77430198e-01
8.58152169e-04, -4.62336451e-01
1.11645553e-03, -6.62575305e-01
1.39756035e-03, -8.01389098e-01


