[Name]
Series 1 at /POLYLINE:airfoil

[Data]
X [ m ],h [ W m^-2 ]
3.57551761e-02, -9.04356079e+02
3.57119776e-02, -6.64591858e+02
3.56731042e-02, -4.65123932e+02
3.56384590e-02, -7.79602051e+02
3.56086195e-02, -1.08558252e+03
3.55835445e-02, -1.30299805e+03
3.53441723e-02, -1.19724890e+03
3.51056270e-02, -1.17771436e+03
3.48679721e-02, -1.16936414e+03
3.46312486e-02, -1.16447766e+03
3.43953520e-02, -1.15870996e+03
3.41601260e-02, -1.15166504e+03
3.39254215e-02, -1.14436780e+03
3.36910896e-02, -1.13819043e+03
3.34569141e-02, -1.12896436e+03
3.32225785e-02, -1.11765173e+03
3.29877511e-02, -1.10661633e+03
3.27521004e-02, -1.09421667e+03
3.25153060e-02, -1.07996448e+03
3.22770290e-02, -1.06629395e+03
3.20369527e-02, -1.05154602e+03
3.17947343e-02, -1.03599524e+03
3.15500684e-02, -1.02049432e+03
3.13026197e-02, -1.00490613e+03
3.10521070e-02, -9.88892639e+02
3.07983309e-02, -9.73361511e+02
3.05411015e-02, -9.57732971e+02
3.02802399e-02, -9.41772156e+02
3.00155748e-02, -9.25662354e+02
2.97468845e-02, -9.09768616e+02
2.94740312e-02, -8.94071167e+02
2.91968249e-02, -8.78278809e+02
2.89150812e-02, -8.62826416e+02
2.86286417e-02, -8.47447876e+02
2.83373948e-02, -8.32653931e+02
2.80412603e-02, -8.18060242e+02
2.77401395e-02, -8.03587280e+02
2.74339020e-02, -7.89510254e+02
2.71225125e-02, -7.75519897e+02
2.68058125e-02, -7.62143127e+02
2.64837667e-02, -7.49120728e+02
2.61562802e-02, -7.36069458e+02
2.58232336e-02, -7.23770874e+02
2.54845433e-02, -7.11613159e+02
2.51400918e-02, -6.99650696e+02
2.47897580e-02, -6.88252625e+02
2.44334172e-02, -6.77129089e+02
2.40709558e-02, -6.66386536e+02
2.37022620e-02, -6.55852478e+02
2.33272072e-02, -6.45949219e+02
2.29456704e-02, -6.36356750e+02
2.25575790e-02, -6.27165222e+02
2.21628658e-02, -6.18946472e+02
2.17616260e-02, -6.11154541e+02
2.13541035e-02, -6.04122742e+02
2.09406074e-02, -5.97449097e+02
2.05213130e-02, -5.91464661e+02
2.00964995e-02, -5.85927307e+02
1.96664128e-02, -5.80691772e+02
1.92312337e-02, -5.75379883e+02
1.87912639e-02, -5.66247742e+02
1.82577297e-02, -5.61031860e+02
