[Name]
Series 1 at airfoil

[Data]
X [ m ],Cp
3.57119776e-02, -3.20570679e+01
3.56731042e-02, -3.35787392e+01
3.56384590e-02, -3.20127678e+01
3.56086195e-02, -2.78657646e+01
3.55835445e-02, -2.31594467e+01
3.53441723e-02, -1.98321915e+01
3.51056270e-02, -1.86649380e+01
3.48679721e-02, -1.76571445e+01
3.46312486e-02, -1.68049240e+01
3.43953520e-02, -1.60201244e+01
3.41601260e-02, -1.52748995e+01
3.39254215e-02, -1.45530157e+01
3.36910896e-02, -1.38459177e+01
3.34569141e-02, -1.31537228e+01
3.32225785e-02, -1.24790668e+01
3.29877511e-02, -1.18219280e+01
3.27521004e-02, -1.11836004e+01
3.25153060e-02, -1.05667629e+01
3.22770290e-02, -9.97131157e+00
3.20369527e-02, -9.39807987e+00
3.17947343e-02, -8.84955215e+00
3.15500684e-02, -8.32603645e+00
3.13026197e-02, -7.82782793e+00
3.10521070e-02, -7.35491371e+00
3.07983309e-02, -6.90558720e+00
3.05411015e-02, -6.47848082e+00
3.02802399e-02, -6.07332945e+00
3.00155748e-02, -5.69000244e+00
2.97468845e-02, -5.32737589e+00
2.94740312e-02, -4.98458099e+00
2.91968249e-02, -4.66149569e+00
2.89150812e-02, -4.35764313e+00
2.86286417e-02, -4.07195854e+00
2.83373948e-02, -3.80301428e+00
2.80412603e-02, -3.54973269e+00
2.77401395e-02, -3.31160164e+00
2.74339020e-02, -3.08748341e+00
2.71225125e-02, -2.87676573e+00
2.68058125e-02, -2.67868423e+00
2.64837667e-02, -2.49219275e+00
2.61562802e-02, -2.31685662e+00
2.58232336e-02, -2.15208554e+00
2.54845433e-02, -1.99721503e+00
2.51400918e-02, -1.85186303e+00
2.47897580e-02, -1.71558213e+00
2.44334172e-02, -1.58795571e+00
2.40709558e-02, -1.46847546e+00
2.37022620e-02, -1.35683322e+00
2.33272072e-02, -1.25285959e+00
2.29456704e-02, -1.15638089e+00
2.25575790e-02, -1.06729293e+00
2.21628658e-02, -9.85204816e-01
2.17616260e-02, -9.08983231e-01
2.13541035e-02, -8.37351561e-01
2.09406074e-02, -7.69736588e-01
2.05213130e-02, -7.05790877e-01
2.00964995e-02, -6.44702494e-01
1.96664128e-02, -5.85785270e-01
1.92312337e-02, -5.27918875e-01
1.87912639e-02, -4.72371310e-01
1.82577297e-02, -4.08594996e-01
1.77178197e-02, -3.48396748e-01
1.71714611e-02, -2.90777892e-01
1.66184753e-02, -2.35990256e-01
1.60588138e-02, -1.84020817e-01
1.54923731e-02, -1.35056287e-01
1.49190025e-02, -8.92182663e-02
1.43386461e-02, -4.67586033e-02
1.37512218e-02, -8.10285565e-03
1.31567344e-02, 2.70572864e-02
1.25556691e-02, 6.00766428e-02
1.19488351e-02, 9.19713229e-02
1.13369599e-02, 1.23288475e-01
1.07207345e-02, 1.54553518e-01
1.01008555e-02, 1.86330944e-01
9.47802048e-03, 2.19202667e-01
8.85287020e-03, 2.53529072e-01
8.22584610e-03, 2.89266735e-01
7.59710371e-03, 3.26350570e-01
6.96675340e-03, 3.64298493e-01
6.33493019e-03, 4.01165187e-01
5.70175517e-03, 4.35443848e-01
5.38443029e-03, 4.53473330e-01
5.06681064e-03, 4.74064857e-01
4.74891486e-03, 4.94908214e-01
4.43075690e-03, 5.15999079e-01
4.11235169e-03, 5.37437320e-01
3.79368803e-03, 5.59131801e-01
3.47466604e-03, 5.80643892e-01
3.15514882e-03, 6.01556718e-01
2.83499924e-03, 6.21392667e-01
2.51419446e-03, 6.40477359e-01
2.19340133e-03, 6.58224583e-01
1.87361846e-03, 6.72545731e-01
1.55594409e-03, 6.89064085e-01
1.24607550e-03, 7.24037528e-01
9.57472832e-04, 7.87436068e-01
7.04973878e-04, 8.70062590e-01
4.92183084e-04, 9.45333183e-01
3.16819118e-04, 9.97736871e-01
1.76186091e-04, 1.02388227e+00
6.97391661e-05, 1.02908874e+00
-1.13698832e-06, 1.00923109e+00
9.13458371e-06, 9.01518703e-01
8.14504601e-05, 7.68898487e-01
1.88511272e-04, 6.37945771e-01
3.12563585e-04, 4.83683199e-01
4.58774099e-04, 2.70034403e-01
6.37591525e-04, -4.70278319e-03
8.58152169e-04, -2.88941085e-01
1.11645553e-03, -5.11118233e-01
1.39756035e-03, -6.67352259e-01


