[Name]
Series 1 at airfoil

[Data]
X [ m ],h [ W m^-2 ]
3.57119776e-02, -6.08036194e+02
3.56731042e-02, -6.94095825e+02
3.56384590e-02, -9.18972351e+02
3.56086195e-02, -1.11131921e+03
3.55835445e-02, -1.31060486e+03
3.53441723e-02, -1.26590051e+03
3.51056270e-02, -1.19258716e+03
3.48679721e-02, -1.18442090e+03
3.46312486e-02, -1.17008276e+03
3.43953520e-02, -1.16179175e+03
3.41601260e-02, -1.15331323e+03
3.39254215e-02, -1.14418042e+03
3.36910896e-02, -1.13562134e+03
3.34569141e-02, -1.12641858e+03
3.32225785e-02, -1.11515466e+03
3.29877511e-02, -1.10358960e+03
3.27521004e-02, -1.09189258e+03
3.25153060e-02, -1.07843628e+03
3.22770290e-02, -1.06448450e+03
3.20369527e-02, -1.05093945e+03
3.17947343e-02, -1.03606970e+03
3.15500684e-02, -1.02081848e+03
3.13026197e-02, -1.00570184e+03
3.10521070e-02, -9.89752686e+02
3.07983309e-02, -9.73725586e+02
3.05411015e-02, -9.57945862e+02
3.02802399e-02, -9.42238647e+02
3.00155748e-02, -9.26139343e+02
2.97468845e-02, -9.10122375e+02
2.94740312e-02, -8.94243774e+02
2.91968249e-02, -8.78589417e+02
2.89150812e-02, -8.63116760e+02
2.86286417e-02, -8.47657104e+02
2.83373948e-02, -8.32714966e+02
2.80412603e-02, -8.17917480e+02
2.77401395e-02, -8.03415039e+02
2.74339020e-02, -7.89269714e+02
2.71225125e-02, -7.75361816e+02
2.68058125e-02, -7.61751038e+02
2.64837667e-02, -7.48667908e+02
2.61562802e-02, -7.35868958e+02
2.58232336e-02, -7.23323364e+02
2.54845433e-02, -7.11302124e+02
2.51400918e-02, -6.99373230e+02
2.47897580e-02, -6.88124695e+02
2.44334172e-02, -6.76984863e+02
2.40709558e-02, -6.66489685e+02
2.37022620e-02, -6.56190918e+02
2.33272072e-02, -6.46580566e+02
2.29456704e-02, -6.36980652e+02
2.25575790e-02, -6.28099121e+02
2.21628658e-02, -6.19445862e+02
2.17616260e-02, -6.11381836e+02
2.13541035e-02, -6.03838013e+02
2.09406074e-02, -5.96680725e+02
2.05213130e-02, -5.90023010e+02
2.00964995e-02, -5.83900696e+02
1.96664128e-02, -5.77462708e+02
1.92312337e-02, -5.71867065e+02
1.87912639e-02, -5.65153137e+02
1.82577297e-02, -5.59484863e+02
1.77178197e-02, -5.52862000e+02
1.71714611e-02, -5.46936340e+02
1.66184753e-02, -5.40762634e+02
1.60588138e-02, -5.34961548e+02
1.54923731e-02, -5.29658936e+02
1.49190025e-02, -5.24076965e+02
1.43386461e-02, -5.18867249e+02
1.37512218e-02, -5.14364075e+02
1.31567344e-02, -5.09998291e+02
1.25556691e-02, -5.05658600e+02
1.19488351e-02, -5.02516693e+02
1.13369599e-02, -4.99457245e+02
1.07207345e-02, -4.96820160e+02
