[Name]
Series 1 at /POLYLINE:airfoil

[Data]
X [ m ],h [ W m^-2 ]
3.57551761e-02, -1.09533350e+03
3.57119776e-02, -1.07356152e+03
3.56731042e-02, -9.08287903e+02
3.56384590e-02, -8.54015625e+02
3.56086195e-02, -9.64370178e+02
3.55835445e-02, -1.09402344e+03
3.53441723e-02, -1.14069458e+03
3.51056270e-02, -1.15134912e+03
3.48679721e-02, -1.15379297e+03
3.46312486e-02, -1.15514954e+03
3.43953520e-02, -1.15526160e+03
3.41601260e-02, -1.15360779e+03
3.39254215e-02, -1.15093689e+03
3.36910896e-02, -1.14790100e+03
3.34569141e-02, -1.14261829e+03
3.32225785e-02, -1.13585132e+03
3.29877511e-02, -1.12719971e+03
3.27521004e-02, -1.11755505e+03
3.25153060e-02, -1.10752075e+03
3.22770290e-02, -1.09672327e+03
3.20369527e-02, -1.08501477e+03
3.17947343e-02, -1.07210181e+03
3.15500684e-02, -1.05883777e+03
3.13026197e-02, -1.04479663e+03
3.10521070e-02, -1.03077783e+03
3.07983309e-02, -1.01690717e+03
3.05411015e-02, -1.00210303e+03
3.02802399e-02, -9.87284790e+02
3.00155748e-02, -9.72484375e+02
2.97468845e-02, -9.57336670e+02
2.94740312e-02, -9.42271729e+02
2.91968249e-02, -9.26857666e+02
2.89150812e-02, -9.11649597e+02
2.86286417e-02, -8.96789246e+02
2.83373948e-02, -8.82256104e+02
2.80412603e-02, -8.67644592e+02
2.77401395e-02, -8.53280212e+02
2.74339020e-02, -8.39278748e+02
2.71225125e-02, -8.25276855e+02
2.68058125e-02, -8.11752014e+02
2.64837667e-02, -7.98394470e+02
2.61562802e-02, -7.85209900e+02
2.58232336e-02, -7.72443237e+02
2.54845433e-02, -7.60084961e+02
2.51400918e-02, -7.47899170e+02
2.47897580e-02, -7.35997986e+02
2.44334172e-02, -7.24549866e+02
2.40709558e-02, -7.13428955e+02
2.37022620e-02, -7.02730896e+02
2.33272072e-02, -6.92454529e+02
2.29456704e-02, -6.82692627e+02
2.25575790e-02, -6.73469055e+02
2.21628658e-02, -6.65210938e+02
2.17616260e-02, -6.57477844e+02
2.13541035e-02, -6.50410706e+02
2.09406074e-02, -6.43677856e+02
2.05213130e-02, -6.37137207e+02
2.00964995e-02, -6.31210144e+02
1.96664128e-02, -6.25465881e+02
1.92312337e-02, -6.19687805e+02
1.87912639e-02, -6.12416809e+02
1.82577297e-02, -6.06147888e+02
1.77178197e-02, -5.99108826e+02
1.71714611e-02, -5.92348755e+02
1.66184753e-02, -5.86047485e+02
1.60588138e-02, -5.79824585e+02
1.54923731e-02, -5.73813232e+02
1.49190025e-02, -5.68237976e+02
1.43386461e-02, -5.63144714e+02
1.37512218e-02, -5.58847290e+02
1.31567344e-02, -5.55611206e+02
1.25556691e-02, -5.53462952e+02
1.19488351e-02, -5.51632202e+02
1.13369599e-02, -5.50258545e+02
1.07207345e-02, -5.49009460e+02
1.01008555e-02, -5.47934021e+02
9.47802048e-03, -5.46471741e+02
8.85287020e-03, -5.44641907e+02
8.22584610e-03, -5.42305664e+02
7.59710371e-03, -5.39293579e+02
6.96675340e-03, -5.36171265e+02
6.33493019e-03, -5.32525513e+02
5.70175517e-03, -5.29096680e+02
5.38443029e-03, -5.22598328e+02
5.06681064e-03, -5.17623291e+02
4.74891486e-03, -5.12580811e+02
4.43075690e-03, -5.07650299e+02
4.11235169e-03, -5.04334290e+02
3.79368803e-03, -5.01570526e+02
3.47466604e-03, -4.99285950e+02
3.15514882e-03, -4.97375244e+02
2.83499924e-03, -4.96618469e+02
2.51419446e-03, -4.98161438e+02
2.19340133e-03, -5.02893311e+02
1.87361846e-03, -5.14692993e+02
1.55594409e-03, -5.38725647e+02
1.24607550e-03, -6.13603882e+02
9.57472832e-04, -7.11226990e+02
7.04973878e-04, -7.29089661e+02
4.92183084e-04, -7.27102722e+02
3.16819118e-04, -6.97592529e+02
1.76186091e-04, -6.82929260e+02
6.97391661e-05, -7.01792603e+02
-1.13698832e-06, -7.64299866e+02
9.13458371e-06, -7.65755188e+02
8.14504601e-05, -6.85515198e+02
1.88511272e-04, -6.63071289e+02
3.12563585e-04, -6.98364746e+02
4.58774099e-04, -7.60294189e+02
6.37591525e-04, -8.13951965e+02
8.58152169e-04, -8.22141602e+02
1.11645553e-03, -7.94824280e+02
1.39756035e-03, -7.83388184e+02


