[Name]
Series 1 at /POLYLINE:airfoil

[Data]
X [ m ],Cp
3.57119776e-02, -2.11730785e+01
3.56731042e-02, -2.23974056e+01
3.56384590e-02, -2.37627487e+01
3.56086195e-02, -2.30951748e+01
3.55835445e-02, -2.08700104e+01
3.53441723e-02, -1.91730175e+01
3.51056270e-02, -1.80754070e+01
3.48679721e-02, -1.72192554e+01
3.46312486e-02, -1.64557724e+01
3.43953520e-02, -1.57385263e+01
3.41601260e-02, -1.50452137e+01
3.39254215e-02, -1.43647690e+01
3.36910896e-02, -1.36921482e+01
3.34569141e-02, -1.30282784e+01
3.32225785e-02, -1.23761311e+01
3.29877511e-02, -1.17382650e+01
3.27521004e-02, -1.11169720e+01
3.25153060e-02, -1.05137844e+01
3.22770290e-02, -9.92986965e+00
3.20369527e-02, -9.36684418e+00
3.17947343e-02, -8.82623005e+00
3.15500684e-02, -8.30929470e+00
3.13026197e-02, -7.81703520e+00
3.10521070e-02, -7.34924698e+00
3.07983309e-02, -6.90452957e+00
3.05411015e-02, -6.48163080e+00
3.02802399e-02, -6.07992840e+00
3.00155748e-02, -5.69931269e+00
2.97468845e-02, -5.33895254e+00
2.94740312e-02, -4.99779654e+00
2.91968249e-02, -4.67572546e+00
2.89150812e-02, -4.37248802e+00
2.86286417e-02, -4.08724976e+00
2.83373948e-02, -3.81858397e+00
2.80412603e-02, -3.56534123e+00
2.77401395e-02, -3.32707405e+00
2.74339020e-02, -3.10270548e+00
2.71225125e-02, -2.89159656e+00
2.68058125e-02, -2.69301510e+00
2.64837667e-02, -2.50593066e+00
2.61562802e-02, -2.32990432e+00
2.58232336e-02, -2.16443825e+00
2.54845433e-02, -2.00877857e+00
2.51400918e-02, -1.86248684e+00
2.47897580e-02, -1.72529030e+00
2.44334172e-02, -1.59668672e+00
2.40709558e-02, -1.47616076e+00
2.37022620e-02, -1.36344421e+00
2.33272072e-02, -1.25831985e+00
2.29456704e-02, -1.16049397e+00
2.25575790e-02, -1.07004309e+00
2.21628658e-02, -9.86796916e-01
2.17616260e-02, -9.09827232e-01
2.13541035e-02, -8.37788403e-01
2.09406074e-02, -7.70016253e-01
2.05213130e-02, -7.05965698e-01
2.00964995e-02, -6.44853234e-01
1.96664128e-02, -5.86278617e-01
1.92312337e-02, -5.30531347e-01
1.87912639e-02, -4.78778213e-01
1.82577297e-02, -4.15826231e-01
1.77178197e-02, -3.54956478e-01
1.71714611e-02, -2.96743780e-01
1.66184753e-02, -2.41473451e-01
1.60588138e-02, -1.88962385e-01
1.54923731e-02, -1.39440507e-01
1.49190025e-02, -9.28609744e-02
1.43386461e-02, -4.94154282e-02
1.37512218e-02, -9.75534227e-03
1.31567344e-02, 2.60596648e-02
1.25556691e-02, 5.93623854e-02
1.19488351e-02, 9.13238004e-02
1.13369599e-02, 1.22459136e-01
1.07207345e-02, 1.53287888e-01
1.01008555e-02, 1.84414715e-01
9.47802048e-03, 2.16512382e-01
8.85287020e-03, 2.49976918e-01
8.22584610e-03, 2.84706116e-01
7.59710371e-03, 3.20342273e-01
6.96675340e-03, 3.56940776e-01
6.33493019e-03, 3.94978523e-01
5.70175517e-03, 4.34404403e-01
5.38443029e-03, 4.54132259e-01
5.06681064e-03, 4.74256098e-01
4.74891486e-03, 4.94601369e-01
4.43075690e-03, 5.15376747e-01
4.11235169e-03, 5.36701381e-01
3.79368803e-03, 5.58447540e-01
3.47466604e-03, 5.80134153e-01
3.15514882e-03, 6.01301253e-01
2.83499924e-03, 6.21940315e-01
2.51419446e-03, 6.42864704e-01
2.19340133e-03, 6.63435638e-01
1.87361846e-03, 6.79871976e-01
1.55594409e-03, 6.94579482e-01
1.24607550e-03, 7.21141636e-01
9.57472832e-04, 7.76629150e-01
7.04973878e-04, 8.56128156e-01
4.92183084e-04, 9.31739509e-01
3.16819118e-04, 9.89471018e-01
1.76186091e-04, 1.01231158e+00
6.97391661e-05, 1.00788307e+00
-1.13698832e-06, 9.47562635e-01
9.13458371e-06, 8.12725186e-01
8.14504601e-05, 6.73970222e-01
1.88511272e-04, 5.33375800e-01
3.12563585e-04, 3.55791062e-01
4.58774099e-04, 1.10025443e-01
6.37591525e-04, -1.87450752e-01
8.58152169e-04, -4.69597727e-01
1.11645553e-03, -6.68294132e-01
1.39756035e-03, -8.09046149e-01


