[Name]
Series 1 at airfoil

[Data]
X [ m ],Cp
3.57119776e-02, -2.13494778e+01
3.56731042e-02, -2.26243286e+01
3.56384590e-02, -2.39995651e+01
3.56086195e-02, -2.32861500e+01
3.55835445e-02, -2.09838371e+01
3.53441723e-02, -1.92421665e+01
3.51056270e-02, -1.81286945e+01
3.48679721e-02, -1.72634315e+01
3.46312486e-02, -1.64930248e+01
3.43953520e-02, -1.57694693e+01
3.41601260e-02, -1.50702686e+01
3.39254215e-02, -1.43842659e+01
3.36910896e-02, -1.37064362e+01
3.34569141e-02, -1.30377836e+01
3.32225785e-02, -1.23813639e+01
3.29877511e-02, -1.17397261e+01
3.27521004e-02, -1.11151791e+01
3.25153060e-02, -1.05092030e+01
3.22770290e-02, -9.92291164e+00
3.20369527e-02, -9.35793400e+00
3.17947343e-02, -8.81582260e+00
3.15500684e-02, -8.29770279e+00
3.13026197e-02, -7.80455971e+00
3.10521070e-02, -7.33614397e+00
3.07983309e-02, -6.89100599e+00
3.05411015e-02, -6.46787453e+00
3.02802399e-02, -6.06616402e+00
3.00155748e-02, -5.68557930e+00
2.97468845e-02, -5.32531548e+00
2.94740312e-02, -4.98432875e+00
2.91968249e-02, -4.66253853e+00
2.89150812e-02, -4.35964060e+00
2.86286417e-02, -4.07478380e+00
2.83373948e-02, -3.80651760e+00
2.80412603e-02, -3.55367422e+00
2.77401395e-02, -3.31580424e+00
2.74339020e-02, -3.09186816e+00
2.71225125e-02, -2.88116026e+00
2.68058125e-02, -2.68301320e+00
2.64837667e-02, -2.49637413e+00
2.61562802e-02, -2.32081985e+00
2.58232336e-02, -2.15568733e+00
2.54845433e-02, -2.00043726e+00
2.51400918e-02, -1.85458195e+00
2.47897580e-02, -1.71777916e+00
2.44334172e-02, -1.58956707e+00
2.40709558e-02, -1.46950483e+00
2.37022620e-02, -1.35722876e+00
2.33272072e-02, -1.25251663e+00
2.29456704e-02, -1.15510297e+00
2.25575790e-02, -1.06511188e+00
2.21628658e-02, -9.82299507e-01
2.17616260e-02, -9.05746162e-01
2.13541035e-02, -8.34048450e-01
2.09406074e-02, -7.66594768e-01
2.05213130e-02, -7.02854455e-01
2.00964995e-02, -6.41980529e-01
1.96664128e-02, -5.83613634e-01
1.92312337e-02, -5.28001845e-01
1.87912639e-02, -4.76432890e-01
1.82577297e-02, -4.13569629e-01
1.77178197e-02, -3.52828324e-01
1.71714611e-02, -2.94790834e-01
1.66184753e-02, -2.39688128e-01
1.60588138e-02, -1.87383369e-01
1.54923731e-02, -1.38090417e-01
1.49190025e-02, -9.18221250e-02
1.43386461e-02, -4.86811697e-02
1.37512218e-02, -9.38628055e-03
1.31567344e-02, 2.62165572e-02
1.25556691e-02, 5.93295097e-02
1.19488351e-02, 9.11205038e-02
1.13369599e-02, 1.22184217e-01
1.07207345e-02, 1.53046861e-01
1.01008555e-02, 1.84243187e-01
9.47802048e-03, 2.16440618e-01
8.85287020e-03, 2.50092626e-01
8.22584610e-03, 2.84955323e-01
7.59710371e-03, 3.20729285e-01
6.96675340e-03, 3.57431620e-01
6.33493019e-03, 3.95584255e-01
5.70175517e-03, 4.35157210e-01
5.38443029e-03, 4.54862416e-01
5.06681064e-03, 4.74952638e-01
4.74891486e-03, 4.95342344e-01
4.43075690e-03, 5.16134202e-01
4.11235169e-03, 5.37362456e-01
3.79368803e-03, 5.58967113e-01
3.47466604e-03, 5.80606043e-01
3.15514882e-03, 6.01693094e-01
2.83499924e-03, 6.22010112e-01
2.51419446e-03, 6.42459691e-01
2.19340133e-03, 6.63097501e-01
1.87361846e-03, 6.80650830e-01
1.55594409e-03, 6.97254360e-01
1.24607550e-03, 7.30059266e-01
9.57472832e-04, 7.98184693e-01
7.04973878e-04, 8.89925539e-01
4.92183084e-04, 9.75514352e-01
3.16819118e-04, 1.03779578e+00
1.76186091e-04, 1.06755042e+00
6.97391661e-05, 1.06157386e+00
-1.13698832e-06, 1.00474274e+00
9.13458371e-06, 8.59405100e-01
8.14504601e-05, 7.11757302e-01
1.88511272e-04, 5.71711779e-01
3.12563585e-04, 4.00127649e-01
4.58774099e-04, 1.59087613e-01
6.37591525e-04, -1.42967522e-01
8.58152169e-04, -4.37493086e-01
1.11645553e-03, -6.48355007e-01
1.39756035e-03, -7.94043422e-01


