[Name]
Series 1 at /POLYLINE:airfoil

[Data]
X [ m ],Cp
3.57119776e-02, -2.58283463e+01
3.56731042e-02, -2.92449875e+01
3.56384590e-02, -2.95640202e+01
3.56086195e-02, -2.66403465e+01
3.55835445e-02, -2.25058613e+01
3.53441723e-02, -1.99120674e+01
3.51056270e-02, -1.85138550e+01
3.48679721e-02, -1.75133152e+01
3.46312486e-02, -1.66683559e+01
3.43953520e-02, -1.58992777e+01
3.41601260e-02, -1.51707544e+01
3.39254215e-02, -1.44650478e+01
3.36910896e-02, -1.37737236e+01
3.34569141e-02, -1.30953388e+01
3.32225785e-02, -1.24314871e+01
3.29877511e-02, -1.17841835e+01
3.27521004e-02, -1.11552315e+01
3.25153060e-02, -1.05457478e+01
3.22770290e-02, -9.95684814e+00
3.20369527e-02, -9.38996983e+00
3.17947343e-02, -8.84601879e+00
3.15500684e-02, -8.32612705e+00
3.13026197e-02, -7.83150339e+00
3.10521070e-02, -7.36156893e+00
3.07983309e-02, -6.91490793e+00
3.05411015e-02, -6.49060678e+00
3.02802399e-02, -6.08776522e+00
3.00155748e-02, -5.70596838e+00
2.97468845e-02, -5.34449387e+00
2.94740312e-02, -5.00250053e+00
2.91968249e-02, -4.67977190e+00
2.89150812e-02, -4.37592411e+00
2.86286417e-02, -4.09008217e+00
2.83373948e-02, -3.82095575e+00
2.80412603e-02, -3.56737423e+00
2.77401395e-02, -3.32873344e+00
2.74339020e-02, -3.10406899e+00
2.71225125e-02, -2.89265418e+00
2.68058125e-02, -2.69384170e+00
2.64837667e-02, -2.50662971e+00
2.61562802e-02, -2.33047318e+00
2.58232336e-02, -2.16483068e+00
2.54845433e-02, -2.00904703e+00
2.51400918e-02, -1.86269510e+00
2.47897580e-02, -1.72539878e+00
2.44334172e-02, -1.59672689e+00
2.40709558e-02, -1.47617614e+00
2.37022620e-02, -1.36342120e+00
2.33272072e-02, -1.25822532e+00
2.29456704e-02, -1.16038966e+00
2.25575790e-02, -1.06989729e+00
2.21628658e-02, -9.86545503e-01
2.17616260e-02, -9.09454823e-01
2.13541035e-02, -8.37386489e-01
2.09406074e-02, -7.69583881e-01
2.05213130e-02, -7.05505788e-01
2.00964995e-02, -6.44298255e-01
1.96664128e-02, -5.85678041e-01
1.92312337e-02, -5.29953718e-01
1.87912639e-02, -4.78309095e-01
1.82577297e-02, -4.15435880e-01
1.77178197e-02, -3.54558080e-01
1.71714611e-02, -2.96339482e-01
1.66184753e-02, -2.40995675e-01
1.60588138e-02, -1.88513950e-01
1.54923731e-02, -1.38970435e-01
1.49190025e-02, -9.23904851e-02
1.43386461e-02, -4.89939265e-02
1.37512218e-02, -9.27963387e-03
1.31567344e-02, 2.67946776e-02
1.25556691e-02, 6.02309518e-02
1.19488351e-02, 9.21833292e-02
1.13369599e-02, 1.23328231e-01
1.07207345e-02, 1.54151827e-01
1.01008555e-02, 1.85246006e-01
9.47802048e-03, 2.17232198e-01
8.85287020e-03, 2.50643104e-01
8.22584610e-03, 2.85389960e-01
7.59710371e-03, 3.21092218e-01
6.96675340e-03, 3.57745737e-01
6.33493019e-03, 3.95739377e-01
5.70175517e-03, 4.35246527e-01
5.38443029e-03, 4.54964161e-01
5.06681064e-03, 4.75003093e-01
4.74891486e-03, 4.95371789e-01
4.43075690e-03, 5.16112506e-01
4.11235169e-03, 5.37352085e-01
3.79368803e-03, 5.59052467e-01
3.47466604e-03, 5.80854297e-01
3.15514882e-03, 6.02330625e-01
2.83499924e-03, 6.23160124e-01
2.51419446e-03, 6.43837452e-01
2.19340133e-03, 6.63969398e-01
1.87361846e-03, 6.80939078e-01
1.55594409e-03, 6.94552004e-01
1.24607550e-03, 7.22534657e-01
9.57472832e-04, 7.77320445e-01
7.04973878e-04, 8.54563355e-01
4.92183084e-04, 9.31307375e-01
3.16819118e-04, 9.89572525e-01
1.76186091e-04, 1.01197469e+00
6.97391661e-05, 1.00834310e+00
-1.13698832e-06, 9.45918083e-01
9.13458371e-06, 8.14688385e-01
8.14504601e-05, 6.72974229e-01
1.88511272e-04, 5.31298101e-01
3.12563585e-04, 3.54033858e-01
4.58774099e-04, 1.08480819e-01
6.37591525e-04, -1.87681109e-01
8.58152169e-04, -4.65245724e-01
1.11645553e-03, -6.63555086e-01
1.39756035e-03, -8.05324197e-01


