[Name]
Series 1 at airfoil

[Data]
X [ m ],Yplus
3.57119776e-02, 3.14636350e-01
3.56731042e-02, 3.26485872e-01
3.56384590e-02, 3.24486494e-01
3.56086195e-02, 3.16216648e-01
3.55835445e-02, 3.25937301e-01
3.53441723e-02, 3.11408728e-01
3.51056270e-02, 2.89020747e-01
3.48679721e-02, 2.83359259e-01
3.46312486e-02, 2.82590806e-01
3.43953520e-02, 2.79855996e-01
3.41601260e-02, 2.76370704e-01
3.39254215e-02, 2.64210045e-01
3.36910896e-02, 2.60664195e-01
3.34569141e-02, 2.71379292e-01
3.32225785e-02, 2.67244101e-01
3.29877511e-02, 2.65931427e-01
3.27521004e-02, 2.61555135e-01
3.25153060e-02, 2.56872028e-01
3.22770290e-02, 2.55035102e-01
3.20369527e-02, 2.53034770e-01
3.17947343e-02, 2.58255899e-01
3.15500684e-02, 2.56168932e-01
3.13026197e-02, 2.50733137e-01
3.10521070e-02, 2.47980356e-01
3.07983309e-02, 2.42522776e-01
3.05411015e-02, 2.41133273e-01
3.02802399e-02, 2.35652983e-01
3.00155748e-02, 2.39389390e-01
2.97468845e-02, 2.36789227e-01
2.94740312e-02, 2.36759216e-01
2.91968249e-02, 2.37039551e-01
2.89150812e-02, 2.37226531e-01
2.86286417e-02, 2.37533957e-01
2.83373948e-02, 2.32395291e-01
2.80412603e-02, 2.34824613e-01
2.77401395e-02, 2.34705329e-01
2.74339020e-02, 2.32108876e-01
2.71225125e-02, 2.29571909e-01
2.68058125e-02, 2.25937128e-01
2.64837667e-02, 2.28013054e-01
2.61562802e-02, 2.24420354e-01
2.58232336e-02, 2.25128442e-01
2.54845433e-02, 2.21920744e-01
2.51400918e-02, 2.24836677e-01
2.47897580e-02, 2.23410070e-01
2.44334172e-02, 2.23148063e-01
2.40709558e-02, 2.22897887e-01
2.37022620e-02, 2.22688377e-01
2.33272072e-02, 2.19111711e-01
2.29456704e-02, 2.20242649e-01
2.25575790e-02, 2.20339790e-01
2.21628658e-02, 2.19007269e-01
2.17616260e-02, 2.19804436e-01
2.13541035e-02, 2.17237771e-01
2.09406074e-02, 2.16272891e-01
2.05213130e-02, 2.18212247e-01
2.00964995e-02, 2.17297435e-01
1.96664128e-02, 2.17744455e-01
1.92312337e-02, 2.15735584e-01
1.87912639e-02, 2.14521989e-01
1.82577297e-02, 2.15672195e-01
1.77178197e-02, 2.15213925e-01
1.71714611e-02, 2.12499917e-01
1.66184753e-02, 2.14227557e-01
1.60588138e-02, 2.13744536e-01
1.54923731e-02, 2.13814765e-01
1.49190025e-02, 2.13964060e-01
1.43386461e-02, 2.13178173e-01
1.37512218e-02, 2.14063302e-01
1.31567344e-02, 2.14127064e-01
1.25556691e-02, 2.15841800e-01
1.19488351e-02, 2.15629518e-01
1.13369599e-02, 2.15390638e-01
